log_id,staff_id,work_date,hours_worked
15154,7,2015-01-15,8.0
15155,8,2015-01-15,8.0
15156,9,2015-01-15,8.0
15157,10,2015-01-15,4.0
15158,11,2015-01-15,4.0
15159,12,2015-01-15,4.0
15160,13,2015-01-15,4.0
15161,1,2015-01-16,8.0
15162,2,2015-01-16,8.0
15163,3,2015-01-16,8.0
15164,4,2015-01-16,8.0
15165,5,2015-01-16,8.0
15166,6,2015-01-16,8.0
15167,7,2015-01-16,8.0
15168,8,2015-01-16,8.0
15169,9,2015-01-16,8.0
15170,10,2015-01-16,4.0
15171,11,2015-01-16,4.0
15172,12,2015-01-16,4.0
15173,13,2015-01-16,4.0
15174,1,2015-01-17,8.0
15175,2,2015-01-17,8.0
15176,3,2015-01-17,8.0
15177,4,2015-01-17,8.0
15178,5,2015-01-17,8.0
15179,6,2015-01-17,8.0
15180,7,2015-01-17,8.0
15181,8,2015-01-17,8.0
15182,9,2015-01-17,8.0
15183,10,2015-01-17,4.0
15184,11,2015-01-17,4.0
15185,12,2015-01-17,4.0
15186,13,2015-01-17,4.0
15187,1,2015-01-18,8.0
15188,2,2015-01-18,8.0
15189,3,2015-01-18,8.0
15190,4,2015-01-18,8.0
15191,5,2015-01-18,8.0
15192,6,2015-01-18,8.0
15193,7,2015-01-18,8.0
15194,8,2015-01-18,8.0
15195,9,2015-01-18,8.0
15196,10,2015-01-18,4.0
15197,11,2015-01-18,4.0
15198,12,2015-01-18,4.0
15199,13,2015-01-18,4.0
15200,1,2015-01-19,8.0
15201,2,2015-01-19,8.0
15202,3,2015-01-19,8.0
15203,4,2015-01-19,8.0
15204,5,2015-01-19,8.0
15205,6,2015-01-19,8.0
15206,7,2015-01-19,8.0
15207,8,2015-01-19,8.0
15208,9,2015-01-19,8.0
15209,10,2015-01-19,4.0
15210,11,2015-01-19,4.0
15211,12,2015-01-19,4.0
15212,13,2015-01-19,4.0
15213,1,2015-01-20,8.0
15214,2,2015-01-20,8.0
15215,3,2015-01-20,8.0
15216,4,2015-01-20,8.0
15217,5,2015-01-20,8.0
15218,6,2015-01-20,8.0
15219,7,2015-01-20,8.0
15220,8,2015-01-20,8.0
15221,9,2015-01-20,8.0
15222,10,2015-01-20,4.0
15223,11,2015-01-20,4.0
15224,12,2015-01-20,4.0
15225,13,2015-01-20,4.0
15226,1,2015-01-21,8.0
15227,2,2015-01-21,8.0
15228,3,2015-01-21,8.0
15229,4,2015-01-21,8.0
15230,5,2015-01-21,8.0
15231,6,2015-01-21,8.0
15232,7,2015-01-21,8.0
15233,8,2015-01-21,8.0
15234,9,2015-01-21,8.0
15235,10,2015-01-21,4.0
15236,11,2015-01-21,4.0
15237,12,2015-01-21,4.0
15238,13,2015-01-21,4.0
15239,1,2015-01-22,8.0
15240,2,2015-01-22,8.0
15241,3,2015-01-22,8.0
15242,4,2015-01-22,8.0
15243,5,2015-01-22,8.0
15244,6,2015-01-22,8.0
15245,7,2015-01-22,8.0
15246,8,2015-01-22,8.0
15247,9,2015-01-22,8.0
15248,10,2015-01-22,4.0
15249,11,2015-01-22,4.0
15250,12,2015-01-22,4.0
15251,13,2015-01-22,4.0
15252,1,2015-01-23,8.0
15253,2,2015-01-23,8.0
15254,3,2015-01-23,8.0
15255,4,2015-01-23,8.0
15256,5,2015-01-23,8.0
15257,6,2015-01-23,8.0
15258,7,2015-01-23,8.0
15259,8,2015-01-23,8.0
15260,9,2015-01-23,8.0
15261,10,2015-01-23,4.0
15262,11,2015-01-23,4.0
15263,12,2015-01-23,4.0
15264,13,2015-01-23,4.0
15265,1,2015-01-24,8.0
15266,2,2015-01-24,8.0
15267,3,2015-01-24,8.0
15268,4,2015-01-24,8.0
15269,5,2015-01-24,8.0
15270,6,2015-01-24,8.0
15271,7,2015-01-24,8.0
15272,8,2015-01-24,8.0
15273,9,2015-01-24,8.0
15274,10,2015-01-24,4.0
15275,11,2015-01-24,4.0
15276,12,2015-01-24,4.0
15277,13,2015-01-24,4.0
15278,1,2015-01-25,8.0
15279,2,2015-01-25,8.0
15280,3,2015-01-25,8.0
15281,4,2015-01-25,8.0
15282,5,2015-01-25,8.0
15283,6,2015-01-25,8.0
15284,7,2015-01-25,8.0
15285,8,2015-01-25,8.0
15286,9,2015-01-25,8.0
15287,10,2015-01-25,4.0
15288,11,2015-01-25,4.0
15289,12,2015-01-25,4.0
15290,13,2015-01-25,4.0
15291,1,2015-01-26,8.0
15292,2,2015-01-26,8.0
15293,3,2015-01-26,8.0
15294,4,2015-01-26,8.0
15295,5,2015-01-26,8.0
15296,6,2015-01-26,8.0
15297,7,2015-01-26,8.0
15298,8,2015-01-26,8.0
15299,9,2015-01-26,8.0
15300,10,2015-01-26,4.0
15301,11,2015-01-26,4.0
15302,12,2015-01-26,4.0
15303,13,2015-01-26,4.0
15304,1,2015-01-27,8.0
15305,2,2015-01-27,8.0
15306,3,2015-01-27,8.0
15307,4,2015-01-27,8.0
15308,5,2015-01-27,8.0
15309,6,2015-01-27,8.0
15310,7,2015-01-27,8.0
15311,8,2015-01-27,8.0
15312,9,2015-01-27,8.0
15313,10,2015-01-27,4.0
15314,11,2015-01-27,4.0
15315,12,2015-01-27,4.0
15316,13,2015-01-27,4.0
15317,1,2015-01-28,8.0
15318,2,2015-01-28,8.0
15319,3,2015-01-28,8.0
15320,4,2015-01-28,8.0
15321,5,2015-01-28,8.0
15322,6,2015-01-28,8.0
15323,7,2015-01-28,8.0
15324,8,2015-01-28,8.0
15325,9,2015-01-28,8.0
15326,10,2015-01-28,4.0
15327,11,2015-01-28,4.0
15328,12,2015-01-28,4.0
15329,13,2015-01-28,4.0
15330,1,2015-01-29,8.0
15331,2,2015-01-29,8.0
15332,3,2015-01-29,8.0
15333,4,2015-01-29,8.0
15334,5,2015-01-29,8.0
15335,6,2015-01-29,8.0
15336,7,2015-01-29,8.0
15337,8,2015-01-29,8.0
15338,9,2015-01-29,8.0
15339,10,2015-01-29,4.0
15340,11,2015-01-29,4.0
15341,12,2015-01-29,4.0
15342,13,2015-01-29,4.0
15343,1,2015-01-30,8.0
15344,2,2015-01-30,8.0
15345,3,2015-01-30,8.0
15346,4,2015-01-30,8.0
15347,5,2015-01-30,8.0
15348,6,2015-01-30,8.0
15349,7,2015-01-30,8.0
15350,8,2015-01-30,8.0
15351,9,2015-01-30,8.0
15352,10,2015-01-30,4.0
15353,11,2015-01-30,4.0
15354,12,2015-01-30,4.0
15355,13,2015-01-30,4.0
15356,1,2015-01-31,8.0
15357,2,2015-01-31,8.0
15358,3,2015-01-31,8.0
15359,4,2015-01-31,8.0
15360,5,2015-01-31,8.0
15361,6,2015-01-31,8.0
15362,7,2015-01-31,8.0
15363,8,2015-01-31,8.0
15364,9,2015-01-31,8.0
15365,10,2015-01-31,4.0
15366,11,2015-01-31,4.0
15367,12,2015-01-31,4.0
15368,13,2015-01-31,4.0
15369,1,2015-02-01,8.0
15370,2,2015-02-01,8.0
15371,3,2015-02-01,8.0
15372,4,2015-02-01,8.0
15373,5,2015-02-01,8.0
15374,6,2015-02-01,8.0
15375,7,2015-02-01,8.0
15376,8,2015-02-01,8.0
15377,9,2015-02-01,8.0
15378,10,2015-02-01,4.0
15379,11,2015-02-01,4.0
15380,12,2015-02-01,4.0
15381,13,2015-02-01,4.0
15382,1,2015-02-02,8.0
15383,2,2015-02-02,8.0
15384,3,2015-02-02,8.0
15385,4,2015-02-02,8.0
15386,5,2015-02-02,8.0
15387,6,2015-02-02,8.0
15388,7,2015-02-02,8.0
15389,8,2015-02-02,8.0
15390,9,2015-02-02,8.0
15391,10,2015-02-02,4.0
15392,11,2015-02-02,4.0
15393,12,2015-02-02,4.0
15394,13,2015-02-02,4.0
15395,1,2015-02-03,8.0
15396,2,2015-02-03,8.0
15397,3,2015-02-03,8.0
15398,4,2015-02-03,8.0
15399,5,2015-02-03,8.0
15400,6,2015-02-03,8.0
15401,7,2015-02-03,8.0
15402,8,2015-02-03,8.0
15403,9,2015-02-03,8.0
15404,10,2015-02-03,4.0
15405,11,2015-02-03,4.0
15406,12,2015-02-03,4.0
15407,13,2015-02-03,4.0
15408,1,2015-02-04,8.0
15409,2,2015-02-04,8.0
15410,3,2015-02-04,8.0
15411,4,2015-02-04,8.0
15412,5,2015-02-04,8.0
15413,6,2015-02-04,8.0
15414,7,2015-02-04,8.0
15415,8,2015-02-04,8.0
15416,9,2015-02-04,8.0
15417,10,2015-02-04,4.0
15418,11,2015-02-04,4.0
15419,12,2015-02-04,4.0
15420,13,2015-02-04,4.0
15421,1,2015-02-05,8.0
15422,2,2015-02-05,8.0
15423,3,2015-02-05,8.0
15424,4,2015-02-05,8.0
15425,5,2015-02-05,8.0
15426,6,2015-02-05,8.0
15427,7,2015-02-05,8.0
15428,8,2015-02-05,8.0
15429,9,2015-02-05,8.0
15430,10,2015-02-05,4.0
15431,11,2015-02-05,4.0
15432,12,2015-02-05,4.0
15433,13,2015-02-05,4.0
15434,1,2015-02-06,8.0
15435,2,2015-02-06,8.0
15436,3,2015-02-06,8.0
15437,4,2015-02-06,8.0
15438,5,2015-02-06,8.0
15439,6,2015-02-06,8.0
15440,7,2015-02-06,8.0
15441,8,2015-02-06,8.0
15442,9,2015-02-06,8.0
15443,10,2015-02-06,4.0
15444,11,2015-02-06,4.0
15445,12,2015-02-06,4.0
15446,13,2015-02-06,4.0
15447,1,2015-02-07,8.0
15448,2,2015-02-07,8.0
15449,3,2015-02-07,8.0
15450,4,2015-02-07,8.0
15451,5,2015-02-07,8.0
15452,6,2015-02-07,8.0
15453,7,2015-02-07,8.0
15454,8,2015-02-07,8.0
15455,9,2015-02-07,8.0
15456,10,2015-02-07,4.0
15457,11,2015-02-07,4.0
15458,12,2015-02-07,4.0
15459,13,2015-02-07,4.0
15460,1,2015-02-08,8.0
15461,2,2015-02-08,8.0
15462,3,2015-02-08,8.0
15463,4,2015-02-08,8.0
15464,5,2015-02-08,8.0
15465,6,2015-02-08,8.0
15466,7,2015-02-08,8.0
15467,8,2015-02-08,8.0
15468,9,2015-02-08,8.0
15469,10,2015-02-08,4.0
15470,11,2015-02-08,4.0
15471,12,2015-02-08,4.0
15472,13,2015-02-08,4.0
15473,1,2015-02-09,8.0
15474,2,2015-02-09,8.0
15475,3,2015-02-09,8.0
15476,4,2015-02-09,8.0
15477,5,2015-02-09,8.0
15478,6,2015-02-09,8.0
15479,7,2015-02-09,8.0
15480,8,2015-02-09,8.0
15481,9,2015-02-09,8.0
15482,10,2015-02-09,4.0
15483,11,2015-02-09,4.0
15484,12,2015-02-09,4.0
15485,13,2015-02-09,4.0
15486,1,2015-02-10,8.0
15487,2,2015-02-10,8.0
15488,3,2015-02-10,8.0
15489,4,2015-02-10,8.0
15490,5,2015-02-10,8.0
15491,6,2015-02-10,8.0
15492,7,2015-02-10,8.0
15493,8,2015-02-10,8.0
15494,9,2015-02-10,8.0
15495,10,2015-02-10,4.0
15496,11,2015-02-10,4.0
15497,12,2015-02-10,4.0
15498,13,2015-02-10,4.0
15499,1,2015-02-11,8.0
15500,2,2015-02-11,8.0
15501,3,2015-02-11,8.0
15502,4,2015-02-11,8.0
15503,5,2015-02-11,8.0
15504,6,2015-02-11,8.0
15505,7,2015-02-11,8.0
15506,8,2015-02-11,8.0
15507,9,2015-02-11,8.0
15508,10,2015-02-11,4.0
15509,11,2015-02-11,4.0
15510,12,2015-02-11,4.0
15511,13,2015-02-11,4.0
15512,1,2015-02-12,8.0
15513,2,2015-02-12,8.0
15514,3,2015-02-12,8.0
15515,4,2015-02-12,8.0
15516,5,2015-02-12,8.0
15517,6,2015-02-12,8.0
15518,7,2015-02-12,8.0
15519,8,2015-02-12,8.0
15520,9,2015-02-12,8.0
15521,10,2015-02-12,4.0
15522,11,2015-02-12,4.0
15523,12,2015-02-12,4.0
15524,13,2015-02-12,4.0
15525,1,2015-02-13,8.0
15526,2,2015-02-13,8.0
15527,3,2015-02-13,8.0
15528,4,2015-02-13,8.0
15529,5,2015-02-13,8.0
15530,6,2015-02-13,8.0
15531,7,2015-02-13,8.0
15532,8,2015-02-13,8.0
15533,9,2015-02-13,8.0
15534,10,2015-02-13,4.0
15535,11,2015-02-13,4.0
15536,12,2015-02-13,4.0
15537,13,2015-02-13,4.0
15538,1,2015-02-14,8.0
15539,2,2015-02-14,8.0
15540,3,2015-02-14,8.0
15541,4,2015-02-14,8.0
15542,5,2015-02-14,8.0
15543,6,2015-02-14,8.0
15544,7,2015-02-14,8.0
15545,8,2015-02-14,8.0
15546,9,2015-02-14,8.0
15547,10,2015-02-14,4.0
15548,11,2015-02-14,4.0
15549,12,2015-02-14,4.0
15550,13,2015-02-14,4.0
15551,1,2015-02-15,8.0
15552,2,2015-02-15,8.0
15553,3,2015-02-15,8.0
15554,4,2015-02-15,8.0
15555,5,2015-02-15,8.0
15556,6,2015-02-15,8.0
15557,7,2015-02-15,8.0
15558,8,2015-02-15,8.0
15559,9,2015-02-15,8.0
15560,10,2015-02-15,4.0
15561,11,2015-02-15,4.0
15562,12,2015-02-15,4.0
15563,13,2015-02-15,4.0
15564,1,2015-02-16,8.0
15565,2,2015-02-16,8.0
15566,3,2015-02-16,8.0
15567,4,2015-02-16,8.0
15568,5,2015-02-16,8.0
15569,6,2015-02-16,8.0
15570,7,2015-02-16,8.0
15571,8,2015-02-16,8.0
15572,9,2015-02-16,8.0
15573,10,2015-02-16,4.0
15574,11,2015-02-16,4.0
15575,12,2015-02-16,4.0
15576,13,2015-02-16,4.0
15577,1,2015-02-17,8.0
15578,2,2015-02-17,8.0
15579,3,2015-02-17,8.0
15580,4,2015-02-17,8.0
15581,5,2015-02-17,8.0
15582,6,2015-02-17,8.0
15583,7,2015-02-17,8.0
15584,8,2015-02-17,8.0
15585,9,2015-02-17,8.0
15586,10,2015-02-17,4.0
15587,11,2015-02-17,4.0
15588,12,2015-02-17,4.0
15589,13,2015-02-17,4.0
15590,1,2015-02-18,8.0
15591,2,2015-02-18,8.0
15592,3,2015-02-18,8.0
15593,4,2015-02-18,8.0
15594,5,2015-02-18,8.0
15595,6,2015-02-18,8.0
15596,7,2015-02-18,8.0
15597,8,2015-02-18,8.0
15598,9,2015-02-18,8.0
15599,10,2015-02-18,4.0
15600,11,2015-02-18,4.0
15601,12,2015-02-18,4.0
15602,13,2015-02-18,4.0
15603,1,2015-02-19,8.0
15604,2,2015-02-19,8.0
15605,3,2015-02-19,8.0
15606,4,2015-02-19,8.0
15607,5,2015-02-19,8.0
15608,6,2015-02-19,8.0
15609,7,2015-02-19,8.0
15610,8,2015-02-19,8.0
15611,9,2015-02-19,8.0
15612,10,2015-02-19,4.0
15613,11,2015-02-19,4.0
15614,12,2015-02-19,4.0
15615,13,2015-02-19,4.0
15616,1,2015-02-20,8.0
15617,2,2015-02-20,8.0
15618,3,2015-02-20,8.0
15619,4,2015-02-20,8.0
15620,5,2015-02-20,8.0
15621,6,2015-02-20,8.0
15622,7,2015-02-20,8.0
15623,8,2015-02-20,8.0
15624,9,2015-02-20,8.0
15625,10,2015-02-20,4.0
15626,11,2015-02-20,4.0
15627,12,2015-02-20,4.0
15628,13,2015-02-20,4.0
15629,1,2015-02-21,8.0
15630,2,2015-02-21,8.0
15631,3,2015-02-21,8.0
15632,4,2015-02-21,8.0
15633,5,2015-02-21,8.0
15634,6,2015-02-21,8.0
15635,7,2015-02-21,8.0
15636,8,2015-02-21,8.0
15637,9,2015-02-21,8.0
15638,10,2015-02-21,4.0
15639,11,2015-02-21,4.0
15640,12,2015-02-21,4.0
15641,13,2015-02-21,4.0
15642,1,2015-02-22,8.0
15643,2,2015-02-22,8.0
15644,3,2015-02-22,8.0
15645,4,2015-02-22,8.0
15646,5,2015-02-22,8.0
15647,6,2015-02-22,8.0
15648,7,2015-02-22,8.0
15649,8,2015-02-22,8.0
15650,9,2015-02-22,8.0
15651,10,2015-02-22,4.0
15652,11,2015-02-22,4.0
15653,12,2015-02-22,4.0
15654,13,2015-02-22,4.0
15655,1,2015-02-23,8.0
15656,2,2015-02-23,8.0
15657,3,2015-02-23,8.0
15658,4,2015-02-23,8.0
15659,5,2015-02-23,8.0
15660,6,2015-02-23,8.0
15661,7,2015-02-23,8.0
15662,8,2015-02-23,8.0
15663,9,2015-02-23,8.0
15664,10,2015-02-23,4.0
15665,11,2015-02-23,4.0
15666,12,2015-02-23,4.0
15667,13,2015-02-23,4.0
15668,1,2015-02-24,8.0
15669,2,2015-02-24,8.0
15670,3,2015-02-24,8.0
15671,4,2015-02-24,8.0
15672,5,2015-02-24,8.0
15673,6,2015-02-24,8.0
15674,7,2015-02-24,8.0
15675,8,2015-02-24,8.0
15676,9,2015-02-24,8.0
15677,10,2015-02-24,4.0
15678,11,2015-02-24,4.0
15679,12,2015-02-24,4.0
15680,13,2015-02-24,4.0
15681,1,2015-02-25,8.0
15682,2,2015-02-25,8.0
15683,3,2015-02-25,8.0
15684,4,2015-02-25,8.0
15685,5,2015-02-25,8.0
15686,6,2015-02-25,8.0
15687,7,2015-02-25,8.0
15688,8,2015-02-25,8.0
15689,9,2015-02-25,8.0
15690,10,2015-02-25,4.0
15691,11,2015-02-25,4.0
15692,12,2015-02-25,4.0
15693,13,2015-02-25,4.0
15694,1,2015-02-26,8.0
15695,2,2015-02-26,8.0
15696,3,2015-02-26,8.0
15697,4,2015-02-26,8.0
15698,5,2015-02-26,8.0
15699,6,2015-02-26,8.0
15700,7,2015-02-26,8.0
15701,8,2015-02-26,8.0
15702,9,2015-02-26,8.0
15703,10,2015-02-26,4.0
15704,11,2015-02-26,4.0
15705,12,2015-02-26,4.0
15706,13,2015-02-26,4.0
15707,1,2015-02-27,8.0
15708,2,2015-02-27,8.0
15709,3,2015-02-27,8.0
15710,4,2015-02-27,8.0
15711,5,2015-02-27,8.0
15712,6,2015-02-27,8.0
15713,7,2015-02-27,8.0
15714,8,2015-02-27,8.0
15715,9,2015-02-27,8.0
15716,10,2015-02-27,4.0
15717,11,2015-02-27,4.0
15718,12,2015-02-27,4.0
15719,13,2015-02-27,4.0
15720,1,2015-02-28,8.0
15721,2,2015-02-28,8.0
15722,3,2015-02-28,8.0
15723,4,2015-02-28,8.0
15724,5,2015-02-28,8.0
15725,6,2015-02-28,8.0
15726,7,2015-02-28,8.0
15727,8,2015-02-28,8.0
15728,9,2015-02-28,8.0
15729,10,2015-02-28,4.0
15730,11,2015-02-28,4.0
15731,12,2015-02-28,4.0
15732,13,2015-02-28,4.0
15733,1,2015-03-01,8.0
15734,2,2015-03-01,8.0
15735,3,2015-03-01,8.0
15736,4,2015-03-01,8.0
15737,5,2015-03-01,8.0
15738,6,2015-03-01,8.0
15739,7,2015-03-01,8.0
15740,8,2015-03-01,8.0
15741,9,2015-03-01,8.0
15742,10,2015-03-01,4.0
15743,11,2015-03-01,4.0
15744,12,2015-03-01,4.0
15745,13,2015-03-01,4.0
15746,1,2015-03-02,8.0
15747,2,2015-03-02,8.0
15748,3,2015-03-02,8.0
15749,4,2015-03-02,8.0
15750,5,2015-03-02,8.0
15751,6,2015-03-02,8.0
15752,7,2015-03-02,8.0
15753,8,2015-03-02,8.0
15754,9,2015-03-02,8.0
15755,10,2015-03-02,4.0
15756,11,2015-03-02,4.0
15757,12,2015-03-02,4.0
15758,13,2015-03-02,4.0
15759,1,2015-03-03,8.0
15760,2,2015-03-03,8.0
15761,3,2015-03-03,8.0
15762,4,2015-03-03,8.0
15763,5,2015-03-03,8.0
15764,6,2015-03-03,8.0
15765,7,2015-03-03,8.0
15766,8,2015-03-03,8.0
15767,9,2015-03-03,8.0
15768,10,2015-03-03,4.0
15769,11,2015-03-03,4.0
15770,12,2015-03-03,4.0
15771,13,2015-03-03,4.0
15772,1,2015-03-04,8.0
15773,2,2015-03-04,8.0
15774,3,2015-03-04,8.0
15775,4,2015-03-04,8.0
15776,5,2015-03-04,8.0
15777,6,2015-03-04,8.0
15778,7,2015-03-04,8.0
15779,8,2015-03-04,8.0
15780,9,2015-03-04,8.0
15781,10,2015-03-04,4.0
15782,11,2015-03-04,4.0
15783,12,2015-03-04,4.0
15784,13,2015-03-04,4.0
15785,1,2015-03-05,8.0
15786,2,2015-03-05,8.0
15787,3,2015-03-05,8.0
15788,4,2015-03-05,8.0
15789,5,2015-03-05,8.0
15790,6,2015-03-05,8.0
15791,7,2015-03-05,8.0
15792,8,2015-03-05,8.0
15793,9,2015-03-05,8.0
15794,10,2015-03-05,4.0
15795,11,2015-03-05,4.0
15796,12,2015-03-05,4.0
15797,13,2015-03-05,4.0
15798,1,2015-03-06,8.0
15799,2,2015-03-06,8.0
15800,3,2015-03-06,8.0
15801,4,2015-03-06,8.0
15802,5,2015-03-06,8.0
15803,6,2015-03-06,8.0
15804,7,2015-03-06,8.0
15805,8,2015-03-06,8.0
15806,9,2015-03-06,8.0
15807,10,2015-03-06,4.0
15808,11,2015-03-06,4.0
15809,12,2015-03-06,4.0
15810,13,2015-03-06,4.0
15811,1,2015-03-07,8.0
15812,2,2015-03-07,8.0
15813,3,2015-03-07,8.0
15814,4,2015-03-07,8.0
15815,5,2015-03-07,8.0
15816,6,2015-03-07,8.0
15817,7,2015-03-07,8.0
15818,8,2015-03-07,8.0
15819,9,2015-03-07,8.0
15820,10,2015-03-07,4.0
15821,11,2015-03-07,4.0
15822,12,2015-03-07,4.0
15823,13,2015-03-07,4.0
15824,1,2015-03-08,8.0
15825,2,2015-03-08,8.0
15826,3,2015-03-08,8.0
15827,4,2015-03-08,8.0
15828,5,2015-03-08,8.0
15829,6,2015-03-08,8.0
15830,7,2015-03-08,8.0
15831,8,2015-03-08,8.0
15832,9,2015-03-08,8.0
15833,10,2015-03-08,4.0
15834,11,2015-03-08,4.0
15835,12,2015-03-08,4.0
15836,13,2015-03-08,4.0
15837,1,2015-03-09,8.0
